"","LRT_Lat","LRT_Lon"
"684",42.68164,-88.07547
"685",NA,NA
"686",NA,NA
"687",44.756836,-91.45619
"688",42.483262,-87.873956
"689",29.972149,-92.10698
"690",35.144544,-106.627505
"691",35.644722,-101.425278
"692",29.583889,-95.433889
"693",30.482289,-92.852998
"694",29.593197,-96.485878
"695",30.01883,-89.900933
"696",29.943605,-90.192177
"697",33.6953,-94.423
"698",29.508663,-90.675468
"699",29.97006,-90.10875
"700",30.063277,-94.059642
"701",35.493256,-97.646278
"702",30.089619,-90.055994
"703",NA,NA
"704",29.827917,-95.238306
"705",30.263812,-92.078733
"706",30.78104,-92.42835
"707",35.214686,-101.826319
"708",30.247472,-92.270712
"709",30.558521,-91.186775
"710",NA,NA
"711",30.397222,-91.055
"712",30.461,-91.122
"713",32.45718,-93.758377
"714",32.35667,-93.90417
"715",30.519966,-91.145915
"716",30.149365,-90.872875
"717",29.798845,-94.532425
"718",31.180833,-97.294444
"719",31.3675,-92.416917
"720",35.672807,-106.071714
"721",30.319444,-93.199872
"722",32.359045,-93.636844
"723",30.465747,-90.737039
"724",30.32187,-93.300713
"725",31.751239,-102.540979
"726",NA,NA
"727",30.115209,-93.401267
"728",27.713654,-97.461639
"729",NA,NA
"730",30.568244,-91.215387
"731",NA,NA
"732",31.569355,-92.718681
"733",29.708492,-95.091149
"734",33.20586,-92.63103
"735",29.707288,-95.090618
"736",36.433955,-98.803267
"737",30.191586,-91.11316
"738",30.27644,-92.364609
"739",30.516174,-91.075027
"740",31.376292,-92.426804
"741",29.444214,-98.411951
"742",29.468788,-94.965569
"743",29.381944,-94.893333
"744",30.609631,-91.242887
"745",29.798988,-95.301201
"746",27.815056,-97.459667
"747",NA,NA
"748",36.122414,-96.020344
"749",30.484917,-91.17392
"750",32.465828,-95.175781
"751",32.514336,-92.151962
"752",31.62534,-92.582146
"753",32.51726,-92.630845
"754",35.787001,-95.695261
"755",29.723417,-95.219889
"756",NA,NA
"757",29.353291,-94.913256
"758",32.737046,-97.337785
"759",32.77834,-96.893337
"760",30.3605,-91.00642
"761",NA,NA
"762",32.79383,-93.06245
"763",NA,NA
"764",29.989935,-93.946562
"765",31.26317,-92.4515
"766",29.424954,-94.966592
"767",32.743039,-96.820432
"768",30.266806,-92.860115
